Topic,Question Type,Paragraph,Question Text,Answer Options,Correct Answer,,Keyword
الصرف,MCQ,No paragraph,قام الطلاب بِ ____ في ساحة المدرسة صباحا.,أ. جماعة.؛ ب. إجماع؛ ج. مجموعة.؛ د. اجتماع.,No correct answer,,
الصرف,MCQ,No paragraph,الأمّ الملابس وتضعُها في الغسّالة.,أ. تجمَعُ.؛ ب. تُجمِع؛ ج. تجتمِعُ.؛ د. تتجمّع.,No correct answer,,
الصرف,MCQ,No paragraph,‏يجب على الطللاب____ الأفكار الأساسية من النص المقروء.,أ. خرج‎.؛ ب. خروح‎؛ ج. إخراج‎.؛ د. ‏استخراج‎.,No correct answer,,
مرادف,MCQ,"رغم كل الفوائد التي تجلبها الإنترنت في صالح سرعة الوصول إلى المعلومات، فإن أضرار صحبة تأتي عن الاستخدام المفرط للإنترنت والتي قد تدمر بنية دماغ الإنسان.","ما مرادف كلمة ""المفرط"" في الفقرة الأولى؟",أ. القليل ;ب. العظيم ;ج. الكثير ;د. الغالب.,No correct answer,,
استيعاب النص,MCQ,No paragraph,الذي يشتت دماغ الإنسان هو.,أ. سرعة وصول المعلومات. ;ب. كثرة الإعلانات والأخبار . ;ج. ضعف الدماغ في التركيز والتفكير. ;د.حفظ الدماغ للمعلومات الكثيرة.,No correct answer,,
استيعاب النص,MCQ,No paragraph,يتكاسل الدماغ في العمل بسبب.,أ. كثرة المعلومات وسرعتها. ;ب. استخدام التطبيقات بكثرة.; ج. التركيز والتفاعل الاجتماعي.; د. تغير طريقة بحث المعلومات.,No correct answer,,
مفرد,MCQ,No paragraph,"ما مفرد كلمة ""أنشطة""؟",أ. نشيط؛ ب. ناشط؛ ج. نشاط؛ د. نشطة.,No correct answer,,
استيعاب النص,No question type,No paragraph,يضر الإنترنت الأطفال عندما.,أ. يقل الوعي الذاتي فيهم.؛ ب. يشاهدون يوتيوب والمواقع الاجتماعية.؛ ج. ينشغل الآباء عن التحكم في الإنترنت.؛ د. يدمنون الإنترنت وينمو التنمر الإلكتروني.,No correct answer,,
استيعاب النص,MCQ,No paragraph,العبارة الصحيحة عن الأثر السلبي للإنترنت هي.,أ. تُسبّب المشاكل النفسية.؛ ب. تُضيع مستقبل الأطفال.؛ ج. تغير عادات الناس وتقاليدهم.؛ د. تسبب ضعف الذاكرة وقلة التركيز.,No correct answer,,
استيعاب النص,MCQ,No paragraph,تشير الصورة إلى.,"أ. أكثر اللغات انتشارا على المستوى المحلي.؛ ب. أكثر اللغات انتشارا على المستوى الدولي.؛ ج. عدد اللغات حول العالم في السنة ٢٠٢١.؛ د. عدد اللغات المستخدمة في موقع ""عرب جرافيا"".",No correct answer,,
استيعاب النص,MCQ,No paragraph,أظهرت الدراسة أنّ.,أ. الصينيين يفضّلون استخدام لغتهم الأم.؛ ب. الإنجليزيين يفضلون استخدام لغتهم الأم.؛ ج. العربيين يفضلون استخدام اللغة الأخرى.؛ د. الأسبانيين يفضّلون استخدام اللغة الأخرى.,No correct answer,,
استيعاب النص,MCQ,No paragraph,اختر العبارة الصحيحة المتعلقة بالصورة.,"أ. أجرى موقع ""عرب جرافيا"" دراسة جمع اللغات.؛ ب. تم جمع المعلومات في الصورة من المصادر العديدة.؛ ج. هناك الاختلاف الواسع في عدد السكان بين الدول.؛ د. يجب تسجيل قائمة اللغة من قبل المتحدثين الأصليين.",No correct answer,,
استيعاب النص,MCQ,No paragraph,توفّر الصورة.,أ. الرابط للمقال.؛ ب. موعد إصدار الصورة.؛ ج. قائمة الدول حول العالم.؛ د. وسائل التواصل الاجتماعي للعرب.,No correct answer,,
استيعاب النص,MCQ,"حذرت الدراسات الطبية الحديثة الآباء والأمهات من إهمال أساليب تعامل أطفالهم مع التكنولوجيا، وضرورة توجيههم بعيداً عن عادات الإدمان عليها، حيث يُصابون بما يسمى علميًّا بمرض ""نوموفوبيا"" وهي حالة ناتجة من التعلق المتزايد للفرد بالتكنولوجيا والاهتمام بها أكثر أينما توجه ومع من كان مجتمعًا بهم. نوموفوبيا"" مصطلح حديث يشير إلى إدمان الأطفال على نحو متزايد على استخدام الجوال. وأشارت دراسة إحصائية أجرتها مؤسسة ""سكيور ""انفوي إلى أن ٦٦ في المائة من الشباب لديهم حالة ""نوموفوبيا"" التي نمت بسرعة خلال السنوات القليلة الماضية. وقال الدكتور شوستر : ""إنّ المؤشرات التي تدلّ على النوموفوبيا هي إدمان الناس على استخدام الإنترنت أو غيرها من أشكال التكنولوجيا مثل الكمبيوتر المحمول أو اللوحي وغيره . كما يجد بعضهم صعوبة في الابتعاد عن أجهزتهم الإلكترونية، وفحص الهاتف والنظر له لمعرفة الاتصالات، والإيميلات، والرسائل. كما يُلاحظ على الشخص حمل الهاتف النقال باستمرار وفي أماكن غير لائقة كالحمام مثلا، والإمساك بالهاتف قبل النوم وحين الاستيقاظ من النوم وقبل أن يقوم من فراشه"". ويوصي الخبراء بترشيد وتنظيم استخدام التكنولوجيا في المدارس، وحت الآباء والأمهات على الحد من الوقت الذي يقضيه أبناؤهم على الإنترنت أو على جوالهم. وأكد شوستر: ""التكنولوجيا في حد ذاتها ليست أمرًا سيئًا، إذ يمكن أن تكون أداة مفيدة جداً للتعليم في المدارس ولكن لا بد من تنظيمها وأنصح الوالدين في المنزل أيضًا بمراقبة استخدام أطفالهم للتكنولوجيا للتأكد أنهم لن يتحولوا إلى مدمنين على جوّالهم وأجهزة الكمبيوتر"". إنّ الآباء والأمهات بحاجة إلى بذل المزيد من الجهد لمنع أطفالهم من تطوير هذا المرض نظرا لخطورته على صحتهم النفسية والجسدية.","ما ضّد كلمة ""إمهال"" يف الفقرة األوىل؟",أ. إدراك.؛ ب. اعتماد.؛ ج. اهتمام.؛ د. احتفاظ.,No correct answer,,
استيعاب النص,No question type,No paragraph,"كيف يعرف اإلنسان أنه مُصاب بنوموفوبيا؟
I. فحص اهلاتف من حني آلخر.
II. إدمانه على استخدام اإلنرتنت.
III. صعوبة االبتعاد عن األجهزة االلكرتونية.
IV. متابعة األشخاص على املواقع االجتماعية.","أ. I و II.؛ ب. I، و II، و III.؛ ج. I، و II، و IV.؛ د. II، و III، و IV.",No correct answer,,
استيعاب النص,MCQ,No paragraph,"ما الحل لعلاج مرض ""نوموفوبيا""؟",أ. فصل الهاتف عن الإنترنت؛ ب. عدم شراء الجوال والكمبيوتر.؛ ج. الاجتناب عن الأجهزة الالكترونية.؛ د. حدّ الوقت في استخدام أجهزة التكنولوجيا.,No correct answer,,
جمع,MCQ,No paragraph,"ما مجع كلمة ""تعليم"" في الفقرة الأخيرة؟",أ. تعاليم؛ ب. تعلمة.؛ ج. تعالم.؛ د. تعليمون.,No correct answer,,
استيعاب النص,MCQ,No paragraph,لماذ يجب على الوالدين مراقبة الأبناء في استخدام التكنولوجيا؟,أ. للاستفادة من التكنولوجيا في التعليم؛ ب. لتنظيم وقت الأبناء بين اللعب والدراسة.؛ ج. للحدّ من الوقت الذي يقضونه مع بعض.؛ د. للتأكّد من عدم إدمانهم الهاتف والكمبيوتر.,No correct answer,,
استيعاب النص,MCQ,No paragraph,الموضوع المناسب لهذا النص.,أ. أخطار نوموفوبيا. ؛ ب. أسباب مرض نوموفوبيا.؛ ج. مرض إدمان التكنولوجيا.؛ د. الاستفادة من التكنولوجيا في التعليم.,No correct answer,,
استيعاب النص,MCQ,No paragraph,توضح الصورة الدراسة الجديدة عن.,"أ. سبب اختيار عينة الدراسة نحو ٤،٣٠٠ طالب في مدارس أهلية ؛ ب. معدل سلوكيات ضحايا التنمُّر حسب الصفوف في مدارس ثانوية.؛ ج. ظاهرة التنمُّر لدى طلاب من الصف الخامس وحتى الصف العاشر.؛ د. مشكلة ضحايا التنمُّر من الصف الخامس المصابين بأعراض الاكتِئاب.",No correct answer,,
استيعاب النص,MCQ,No paragraph,مجموع ضحايا التنمُّر الذين يدخّنون التبغ والحشيش هو.,أ. ٢٤ ؛ ب. ٢٦.؛ ج. ۲۷.؛ د. ۳۷.,No correct answer,,
استيعاب النص,MCQ,No paragraph,الفرق للنسبة المئويّة بين سلوكيات ضحايا التنمُّر الذين يشربون المسكرات ويدخنون.,أ. ٦٪ ؛ ب. ٧٪.؛ ج. ٨٪.؛ د. ٩٪.,No correct answer,,
استيعاب النص,MCQ,No paragraph,من هم أقلّ النسبة المئويّة حسب الصفوف الدراسيّة مشيرًا إلى نتائج ظاهرة التنمُّر ؟,أ. مدمنو المواد المدخّرة ؛ ب. أقران ضحايا التنمُّر.؛ ج. المُصابون بالاكتئاب.؛ د. مدخّنو الحشيش والتبغ.,No correct answer,,
نحو,MCQ,No paragraph,هولاء الموظّفون _____ في عملهم.,أ. ناجحان؛ ب. ناجحين.؛ ج. ناجحون.؛ د. الناجحين.,No correct answer,,
إعراب,MCQ,No paragraph,موقع إعراب الكلمة التي تحتها خط : لم يرض الوالدان على سلوك أطفالهم غير المؤدّب.,أ. فعل مضارع مجزوم بالفتحة؛ ب. فعل مضارع مجزوم بالسكون.؛ ج. فعل مضارع مجزوم بحذف النون.؛ د. فعل مضارع مجزوم بحذف حرف العلة.,No correct answer,,
نحو,MCQ,No paragraph,عيّن جملة فيها خبر جملة فعلية.,أ. المجاهدة من شروط النجاح في الدراسة ؛ ب. القرآن منهج ودستور في التربية الإسلامية.؛ ج. ممارسة مبدأ التوازن وعدم التسرف مهمة في الحياة.؛ د. الدولة المتطوّرة تعتني بتكوين مواطنيها جسدًا وروحًا.,No correct answer,,
نحو,MCQ,No paragraph,اختر الجملة الصحيحة.,أ. كانت المقالة أفكارها رائعة؛ ب. إنّ العادات تشكل مجتمعًا فريدًا.؛ ج. لا قوة خارجية تحاول السيطرة على الوطن.؛ د. م تأت الأيام الصعبة ما دام الحب منتشرا بين الناس.,No correct answer,,
إعراب,MCQ,No paragraph,موقع إعراب الكلمة التي تحتها خط: القادة والشعب يحتفلون بعيد الاستقلال خلال استعراض جوي لطائرات عسكرية.,أ. جملة فعلية في محل رفع خبر.؛ ب. جملة فعلية في محل رفع مبتدأ.؛ ج. جملة فعلية في محل نصب خبر.؛ د. جملة فعلية في محل نصب مبتدأ.,No correct answer,,
نحو,MCQ,No paragraph,عين الجملة الاسمية من بين الجمل الآتية.,أ. وضع الرسول أساس الوحدة الوطنية.؛ ب. شارك الخبراء والعلماء في شوؤن الدولة.؛ ج. حفظ الصحة معتمد على الغذاء اليومي.؛ د. حكم القاضي بالجلد في قضية شرب المسكر.,No correct answer,,
نحو,MCQ,No paragraph,املأ الفراغ بالمفعول المطلق: تحسنت مهارة الطالب في استخدام وسائل التعليم الحديثة_____.,أ. حسنًا.؛ ب. تحسينًا.؛ ج. تحسنًا.؛ د. حسانًا.,No correct answer,,
نحو,MCQ,No paragraph,اختر الجملة الصحيحة.,أ. فهم المعلومات المتعلقة بالدرس.؛ ب. قدمت المساعدة على المحتاجين.؛ ج. فضلت الطريقة التقليدية في التعليم.؛ د. قُضِيَت الأوقات أمام المواقع الإلكترونية.,No correct answer,,
نحو,MCQ,No paragraph,املأ الفراغ بحرف العطف المناسب: هجم الجيش مقرّ العدو _____ لا يبقى شيء سوى أنقاض الجدار.,أ. أم.؛ ب. او.؛ ج. بل.؛ د. حتى.,No correct answer,,
نحو,MCQ,No paragraph,إختر الجملة فيها البدل المطابق.,أ. زرتُ الأساتذة كلَّهم.؛ ب. اشتهر الخبيران فكرتهما.؛ ج. المحاضرون. جميعًا ماهرون؛ د. استفدتُ من الكتاب زيد إختر.,No correct answer,,
الصرف,MCQ,No paragraph,"بناء فعل الأمر لكلمة ""رَسَمَ - يَرسُمُ"" هو.",أ. أَرْسُمَ.؛ ب. أُرْسُمْ.؛ ج. أَرْسُمْ ؛ د. أَرْسَمُ..,No correct answer,,
الصرف,MCQ,No paragraph,"بناء الفعل المضارع لكلمة ""فَهِمَ"".",أ. يُفَهِّمُ.؛ ب. يَفْهِمُ.؛ ج. يَفْهَمْ ؛ د. يَفْهَمُ..,No correct answer,,
الصرف,MCQ,No paragraph,"بناء الفعل الماضي لكلمة ""يُوَسْوِسُ"" هو.",أ. وَسْوَسَ.؛ ب. وَسْوِسُ.؛ ج. وَسْوَسُ ؛ د. وَسْوِسْ..,No correct answer,,
الصرف,MCQ,No paragraph,"بناء الفعل الأمر للفعل الرباعي المجرد في كلمة ""إنطَوَى - يَنْطَوِيْ"" هو.",أ. اَنْطَوُ.؛ ب. اِنْطَوِ.؛ ج. اِنْطَوُ ؛ د. اَنْطَوِىَ..,No correct answer,,
الصرف,MCQ,No paragraph,"بناء الفعل المضارع لكلمة ""اِحْرَنْجَمَ"" هو.",أ. يَحْرَنْجِمَ.؛ ب. يَحْرَنْجِمُ.؛ ج. يُحْرَنْجِمُ ؛ د. يُحْرِنْجِمَ..,No correct answer,,
الصرف,MCQ,No paragraph,عيّن نوع الأفعال للكلمات التي تحتها خط في الجملة: اِسْتَعْلَمَ النَّاسَ الخَيْرَ.,أ. مجرّد ثلاثي.؛ ب. مجرّد رباعي.؛ ج. مزيد ثلاثي بحرف واحد ؛ د. مزيد ثلاثي بثلاثة أحرف..,No correct answer,,
الصرف,MCQ,No paragraph,"الفعل الذي تحته خط في الجملة: ""تَجَادَلَ الشرطيُّ والسَّارقُ في الشارِع"" يفيد معنى.",أ. الطلب.؛ ب. التعدّية.؛ ج. المطاوعة ؛ د. المشاركة..,No correct answer,,
الصرف,MCQ,No paragraph,عَيّن معنى الفعل التي تحتها خط: اعشوشب المكان.,أ. الطلب.؛ ب. التعدّية.؛ ج. المبالغة ؛ د. المطاوعة..,No correct answer,,
الصرف,MCQ,No paragraph,"يفيد معنى الفعل الذي تحته خط في الجملة: ""أَفْلَسَتْ الشَّرِكة من تجَارتِها "".",أ. التكلّف.؛ ب. التظاهر.؛ ج. المشاركة ؛ د. الصيرورة..,No correct answer,,
الصرف,MCQ,No paragraph,الكلمة التي تبنى على وزن الفعل الثلاثي المزيد بحرفين هي.,أ. قلَّمَ.؛ ب. عَاصَرَ.؛ ج. اِفْترَشَ؛ د. اِستَقبَلَ..,No correct answer,,
الصرف,Short Answer,,تأتي كلمة (افْرَنقَعَ) من فعل.,,,,
الصرف,Short Answer,,‏الفعل المزيد في جملة (اكْتَسَبَ محمد تي العمل) يفيد معنى‎.,,,,
الصرف,Short Answer,,‏ينبني الازدواج الآتي على وزن (فَعَلَ - يَفْعِلُ)‎.,,,,
الصرف,Short Answer,,قام الطلاب بِ ____ في ساحة المدرسة صباحا.,,,,
الصرف,Short Answer,,الأمّ الملابس وتضعُها في الغسّالة.,,,,
الصرف,Short Answer,,‏يجب على الطللاب____ الأفكار الأساسية من النص المقروء.,,,,
الصرف,Short Answer,,"بناء فعل الأمر لكلمة ""رَسَمَ - يَرسُمُ"" هو.",,,,
الصرف,Short Answer,,"بناء الفعل المضارع لكلمة ""فَهِمَ"".",,,,
الصرف,Short Answer,,"بناء الفعل الماضي لكلمة ""يُوَسْوِسُ"" هو.",,,,
الصرف,Short Answer,,"بناء الفعل الأمر للفعل الرباعي المجرد في كلمة ""إنطَوَى - يَنْطَوِيْ"" هو.",,,,
الصرف,Short Answer,,"بناء الفعل المضارع لكلمة ""اِحْرَنْجَمَ"" هو.",,,,
الصرف,Short Answer,,عيّن نوع الأفعال للكلمات التي تحتها خط في الجملة: اِسْتَعْلَمَ النَّاسَ الخَيْرَ.,,,,
الصرف,Short Answer,,"الفعل الذي تحته خط في الجملة: ""تَجَادَلَ الشرطيُّ والسَّارقُ في الشارِع"" يفيد معنى.",,,,
الصرف,Short Answer,,عَيّن معنى الفعل التي تحتها خط: اعشوشب المكان.,,,,
الصرف,Short Answer,,"يفيد معنى الفعل الذي تحته خط في الجملة: ""أَفْلَسَتْ الشَّرِكة من تجَارتِها "".",,,,
الصرف,Short Answer,,الكلمة التي تبنى على وزن الفعل الثلاثي المزيد بحرفين هي.,,,,
مرادف,Short Answer,,"ما مرادف كلمة ""ساعد"" ؟",,,ساعد,
مرادف,Short Answer,,"اذكر كلمة مشابهة في المعنى لكلمة ""ساعد"".",,,ساعد,
مضاد,Short Answer,,"ما الكلمة التي تعطي نفس معنى ""ساعد"" ؟",,,ساعد,
مضاد,Short Answer,,"وضح معنى كلمة ""ساعد"".",,,ساعد,
مضاد,Short Answer,,"ما الكلمة المختلفة عن كلمة ""ساعد"" ؟",,,ساعد,
مضاد,Short Answer,,"اذكر كلمة تحمل معنى مختلفا عن ""ساعد"".",,,ساعد,
مضاد,Short Answer,,"ما الكلمة التي تعتبر مضادة لكلمة ""ساعد"" ؟",,,ساعد,
مضاد,Short Answer,,"وضح كلمة تحمل معنى مغاير لكلمة ""ساعد"".",,,ساعد,
مرادف,Short Answer,,"ما مرادف كلمة ""كتب"" ؟",,,كتب,
مرادف,Short Answer,,"اذكر كلمة مشابهة في المعنى لكلمة ""كتب"".",,,كتب,
مضاد,Short Answer,,"ما الكلمة التي تعطي نفس معنى ""كتب"" ؟",,,كتب,
مضاد,Short Answer,,"وضح معنى كلمة "" اكتب "" .",,,كتب,
مضاد,Short Answer,,"ما الكلمة المختلفة عن كلمة ""كتب"" ؟",,,كتب,
مضاد,Short Answer,,"اذكر كلمة تحمل معنى مختلف عن ""كتب"".",,,كتب,
مضاد,Short Answer,,"ما الكلمة التي تعتبر مضادة لكلمة ""كتب"" ؟",,,كتب,
مضاد,Short Answer,,"وضح كلمة تحمل معنى مغاير لكلمة ""كتب"".",,,كتب,
مرادف,Short Answer,,"ما مرادف كلمة ""قرأ"" ؟",,,قرأ,
مرادف,Short Answer,,"اذكر كلمة مشابهة في المعنى لكلمة ""قرأ"".",,,قرأ,
مضاد,Short Answer,,"ما الكلمة التي تعطي نفس معنى ""قرأ"" ؟",,,قرأ,
مضاد,Short Answer,,"وضح معنى كلمة ""قرأ"".",,,قرأ,
مضاد,Short Answer,,"ما الكلمة المختلفة عن كلمة ""قرأ"" ؟",,,قرأ,
مضاد,Short Answer,,"اذكر كلمة تحمل معنى مختلفا عن ""قرأ"".",,,قرأ,
مضاد,Short Answer,,"ما الكلمة التي تعتبر مضادة لكلمة ""قرأ"" ؟",,,قرأ,
مضاد,Short Answer,,"وضح كلمة تحمل معنى مغاير لكلمة ""قرأ"".",,,قرأ,
مرادف,Short Answer,,"ما مرادف كلمة "" ذهب "" ؟",,,ذهب,
مرادف,Short Answer,,"اذكر كلمة مشابهة في المعنى لكلمة "" ذهب "" .",,,ذهب,
مضاد,Short Answer,,"ما الكلمة التي تعطي نفس معنى ""ذهب"" ؟",,,ذهب,
مضاد,Short Answer,,"وضح معنى كلمة "" ذهب "" .",,,ذهب,
مضاد,Short Answer,,"ما الكلمة المختلفة عن كلمة "" ذهب "" ؟",,,ذهب,
مضاد,Short Answer,,"اذكر كلمة تحمل معنى مختلف عن "" ذهب "" .",,,ذهب,
مضاد,Short Answer,,"ما الكلمة التي تعتبر مضادة لكلمة "" ذهب "" ؟",,,ذهب,
مضاد,Short Answer,,"وضح كلمة تحمل معنى مغاير لكلمة "" ذهب "" .",,,ذهب,
مرادف,Short Answer,,"ما مرادف كلمة ""رجع"" ؟",,,رجع,
مرادف,Short Answer,,"اذكر كلمة مشابهة في المعنى لكلمة ""رجع "" .",,,رجع,
مضاد,Short Answer,,"ما الكلمة التي تعطي نفس معنى ""رجع"" ؟",,,رجع,
مضاد,Short Answer,,"وضح معنى كلمة ""رجع "" .",,,رجع,
مضاد,Short Answer,,"ما الكلمة المختلفة عن كلمة ""رجع"" ؟",,,رجع,
مضاد,Short Answer,,"اذكر كلمة تحمل معنى مختلف عن ""رجع"".",,,رجع,
مضاد,Short Answer,,"ما الكلمة التي تعتبر مضادة لكلمة ""رجع"" ؟",,,رجع,
مضاد,Short Answer,,"وضح كلمة تحمل معنى مغاير لكلمة ""رجع"".",,,رجع,
مرادف,Short Answer,,"ما مرادف كلمة ""جاء"" ؟",,,جاء,
مرادف,Short Answer,,"اذكر كلمة مشابهة في المعنى لكلمة ""جاء "" .",,,جاء,
مضاد,Short Answer,,"ما الكلمة التي تعطي نفس معنى ""جاء"" ؟",,,جاء,
مضاد,Short Answer,,"وضح معنى كلمة ""جاء "" .",,,جاء,
مضاد,Short Answer,,"ما الكلمة المختلفة عن كلمة ""جاء"" ؟",,,جاء,
مضاد,Short Answer,,"اذكر كلمة تحمل معنى مختلف عن ""جاء"".",,,جاء,
مضاد,Short Answer,,"ما الكلمة التي تعتبر مضادة لكلمة ""جاء"" ؟",,,جاء,
مضاد,Short Answer,,"وضح كلمة تحمل معنى مغاير لكلمة ""جاء "" .",,,جاء,
مرادف,Short Answer,,"ما مرادف كلمة ""عمل"" ؟",,,عمل,
مرادف,Short Answer,,"اذكر كلمة مشابهة في المعنى لكلمة ""عمل"".",,,عمل,
مضاد,Short Answer,,"ما الكلمة التي تعطي نفس معنى ""عمل"" ؟",,,عمل,
مضاد,Short Answer,,"وضح معنى كلمة ""عمل"".",,,عمل,
مضاد,Short Answer,,"ما الكلمة المختلفة عن كلمة ""عمل"" ؟",,,عمل,
مضاد,Short Answer,,"اذكر كلمة تحمل معنى مختلفا عن ""عمل"".",,,عمل,
مضاد,Short Answer,,"ما الكلمة التي تعتبر مضادة لكلمة ""عمل"" ؟",,,عمل,
مضاد,Short Answer,,"وضح كلمة تحمل معنى مغاير لكلمة ""عمل"".",,,عمل,
مرادف,Short Answer,,"ما مرادف كلمة ""فتح "" ؟",,,فتح,
مرادف,Short Answer,,"اذكر كلمة مشابهة في المعنى لكلمة ""فتح "" .",,,فتح,
مضاد,Short Answer,,"ما الكلمة التي تعطي نفس معنى ""فتح"" ؟",,,فتح,
مضاد,Short Answer,,"وضح معنى كلمة ""فتح "" .",,,فتح,
مضاد,Short Answer,,"ما الكلمة المختلفة عن كلمة ""فتح "" ؟",,,فتح,
مضاد,Short Answer,,"اذكر كلمة تحمل معنى مختلف عن ""فتح"".",,,فتح,
مضاد,Short Answer,,"ما الكلمة التي تعتبر مضادة لكلمة ""فتح "" ؟",,,فتح,
مضاد,Short Answer,,"وضح كلمة تحمل معنى مغاير لكلمة ""فتح "" .",,,فتح,
مرادف,Short Answer,,"ما مرادف كلمة ""جلس"" ؟",,,جلس,
مرادف,Short Answer,,"اذكر كلمة مشابهة في المعنى لكلمة ""جلس"".",,,جلس,
مضاد,Short Answer,,"ما الكلمة التي تعطي نفس معنى ""جلس"" ؟",,,جلس,
مضاد,Short Answer,,"وضح معنى كلمة ""جلس"".",,,جلس,
مضاد,Short Answer,,"ما الكلمة المختلفة عن كلمة ""جلس"" ؟",,,جلس,
مضاد,Short Answer,,"اذكر كلمة تحمل معنى مختلفا عن ""جلس"".",,,جلس,
مضاد,Short Answer,,"ما الكلمة التي تعتبر مضادة لكلمة ""جلس"" ؟",,,جلس,
مضاد,Short Answer,,"وضح كلمة تحمل معنى مغاير لكلمة ""جلس"".",,,جلس,
مرادف,Short Answer,,"ما مرادف كلمة ""خرج"" ؟",,,خرج,
مرادف,Short Answer,,"اذكر كلمة مشابهة في المعنى لكلمة ""خرج"".",,,خرج,
مضاد,Short Answer,,"ما الكلمة التي تعطي نفس معنى ""خرج"" ؟",,,خرج,
مضاد,Short Answer,,"وضح معنى كلمة ""خرج"".",,,خرج,
مضاد,Short Answer,,"ما الكلمة المختلفة عن كلمة ""خرج"" ؟",,,خرج,
مضاد,Short Answer,,"اذكر كلمة تحمل معنى مختلف عن ""خرج"".",,,خرج,
مضاد,Short Answer,,"ما الكلمة التي تعتبر مضادة لكلمة ""خرج"" ؟",,,خرج,
مضاد,Short Answer,,"وضح كلمة تحمل معنى مغاير لكلمة ""خرج"".",,,خرج,
مرادف,Short Answer,,"ما مرادف كلمة ""ركض"" ؟",,,ركض,
مرادف,Short Answer,,"اذكر كلمة مشابهة في المعنى لكلمة ""ركض"".",,,ركض,
مضاد,Short Answer,,"ما الكلمة التي تعطي نفس معنى ""ركض"" ؟",,,ركض,
مضاد,Short Answer,,"وضح معنى كلمة ""ركض"" .",,,ركض,
مضاد,Short Answer,,"ما الكلمة المختلفة عن كلمة ""ركض"" ؟",,,ركض,
مضاد,Short Answer,,"اذكر كلمة تحمل معنى مختلفا عن "" الركض "" .",,,ركض,
مضاد,Short Answer,,"ما الكلمة التي تعتبر مضادة لكلمة ""ركض"" ؟",,,ركض,
مضاد,Short Answer,,"وضح كلمة تحمل معنى مغاير لكلمة ""ركض"".",,,ركض,
مرادف,Short Answer,,"ما مرادف كلمة ""أكل"" ؟",,,أكل,
مرادف,Short Answer,,"اذكر كلمة مشابهة في المعنى لكلمة ""أكل"".",,,أكل,
مضاد,Short Answer,,"ما الكلمة التي تعطي نفس معنى ""أكل"" ؟",,,أكل,
مضاد,Short Answer,,"وضح معنى كلمة ""أكل"".",,,أكل,
مضاد,Short Answer,,"ما الكلمة المختلفة عن كلمة ""أكل"" ؟",,,أكل,
مضاد,Short Answer,,"اذكر كلمة تحمل معنى مختلف عن ""أكل"".",,,أكل,
مضاد,Short Answer,,"ما الكلمة التي تعتبر مضادة لكلمة ""أكل"" ؟",,,أكل,
مضاد,Short Answer,,"وضح كلمة تحمل معنى مغاير لكلمة ""أكل"".",,,أكل,
مرادف,Short Answer,,"ما مرادف كلمة ""شرب"" ؟",,,شرب,
مرادف,Short Answer,,"اذكر كلمة مشابهة في المعنى لكلمة ""شرب"".",,,شرب,
مضاد,Short Answer,,"ما الكلمة التي تعطي نفس معنى ""شرب"" ؟",,,شرب,
مضاد,Short Answer,,"وضح معنى كلمة ""شرب"".",,,شرب,
مضاد,Short Answer,,"ما الكلمة المختلفة عن كلمة ""شرب"" ؟",,,شرب,
مضاد,Short Answer,,"اذكر كلمة تحمل معنى مختلفا عن ""شرب"".",,,شرب,
مضاد,Short Answer,,"ما الكلمة التي تعتبر مضادة لكلمة ""شرب"" ؟",,,شرب,
مضاد,Short Answer,,"وضح كلمة تحمل معنى مغاير لكلمة ""شرب"".",,,شرب,
مرادف,Short Answer,,"ما مرادف كلمة ""بكى"" ؟",,,بكى,
مرادف,Short Answer,,"اذكر كلمة مشابهة في المعنى لكلمة ""بكى"".",,,بكى,
مضاد,Short Answer,,"ما الكلمة التي تعطي نفس معنى ""بكى"" ؟",,,بكى,
مضاد,Short Answer,,"وضح معنى كلمة ""بكى "" .",,,بكى,
مضاد,Short Answer,,"ما الكلمة المختلفة عن كلمة ""بكى"" ؟",,,بكى,
مضاد,Short Answer,,"اذكر كلمة تحمل معنى مختلفا عن ""بكى"".",,,بكى,
مضاد,Short Answer,,"ما الكلمة التي تعتبر مضادة لكلمة ""بكى"" ؟",,,بكى,
مضاد,Short Answer,,"وضح كلمة تحمل معنى مغاير لكلمة ""بكى"".",,,بكى,
مرادف,Short Answer,,"ما مرادف كلمة ""لعب"" ؟",,,لعب,
مرادف,Short Answer,,"اذكر كلمة مشابهة في المعنى لكلمة ""لعب"".",,,لعب,
مضاد,Short Answer,,"ما الكلمة التي تعطي نفس معنى ""لعب"" ؟",,,لعب,
مضاد,Short Answer,,"وضح معنى كلمة ""لعب"".",,,لعب,
مضاد,Short Answer,,"ما الكلمة المختلفة عن كلمة ""لعب"" ؟",,,لعب,
مضاد,Short Answer,,"اذكر كلمة تحمل معنى مختلفا عن ""لعب"".",,,لعب,
مضاد,Short Answer,,"ما الكلمة التي تعتبر مضادة لكلمة ""لعب"" ؟",,,لعب,
مضاد,Short Answer,,"وضح كلمة تحمل معنى مغاير لكلمة ""لعب"".",,,لعب,
مرادف,Short Answer,,"ما مرادف كلمة ""سمع"" ؟",,,سمع,
مرادف,Short Answer,,"اذكر كلمة مشابهة في المعنى لكلمة ""سمع"".",,,سمع,
مضاد,Short Answer,,"ما الكلمة التي تعطي نفس معنى ""سمع"" ؟",,,سمع,
مضاد,Short Answer,,"وضح معنى كلمة ""سمع"".",,,سمع,
